conversation_ID,emotion_utterance_ID,emotion,cause_utterance_ID,emotion_cause
14,11,anger,5,It is worse than the thumb !
14,11,anger,6,this is so unfair !
14,11,anger,14,"... I accept all those flaws , why can not you accept me for this ?"
14,12,anger,4,do not do that ! Cut it out !
14,12,anger,5,It is worse than the thumb !
14,12,anger,6,this is so unfair !
14,12,anger,14,"... I accept all those flaws , why can not you accept me for this ?"
14,13,disgust,4,do not do that ! Cut it out !
14,13,disgust,5,It is worse than the thumb !
14,13,disgust,6,this is so unfair !
14,13,disgust,14,"... I accept all those flaws , why can not you accept me for this ?"
14,14,anger,4,do not do that ! Cut it out !
14,14,anger,5,It is worse than the thumb !
14,14,anger,6,this is so unfair !
14,14,anger,14,"... I accept all those flaws , why can not you accept me for this ?"
14,15,anger,10,Like Joey constant knuckle ... cracking is not annoying ?
14,15,anger,15,... Does the knuckle ... cracking bother everybody ?
14,19,anger,18,"do not listen to him , Pheebs , I think it is endearing ."
14,23,anger,21,I should really get back to work .
14,23,anger,22,"Yeah , cause otherwise someone might get what they actually ordered ."
15,1,disgust,1,Do you have any respect for your body ?
15,2,disgust,2,Do not you realise what you are ... you are doing to yourself ?
15,3,anger,1,Do you have any respect for your body ?
15,3,anger,2,Do not you realise what you are ... you are doing to yourself ?
15,3,anger,3,I have had it with you guys and your cancer and your emphysema and your heart disease .
15,6,surprise,5,"It is Alan , he wants to speak to you ."
15,7,joy,5,"It is Alan , he wants to speak to you ."
15,8,surprise,8,she told you about that
15,13,joy,13,no one ever put it like that before .
15,14,joy,13,no one ever put it like that before .
15,15,joy,15,he is good .
17,9,sadness,9,You had a rough day
17,10,sadness,9,You had a rough day
19,1,surprise,1,she do that
19,1,surprise,2,sleep in a public place
19,3,joy,3,She is so peaceful .
19,6,surprise,5,you just nodded off again .
19,7,anger,7,I got no sleep last night !
19,9,disgust,9,"My grandmother has this new boyfriend , and they are both kind of insecure in bed ... and deaf ."
19,11,disgust,11,You have no idea how loud they are !
19,13,joy,12,"if you want , you can stay with Rachel and me tonight ."
21,1,joy,1,tell me all the dirt !
21,2,joy,2,the biggest news is still you dumping Barry at the altar !
21,6,surprise,5,When are you coming home ?
21,9,surprise,5,When are you coming home ?
21,9,surprise,8,I am not ! This is what I am doing now . I have got this job ...
21,9,surprise,9,Waitressing ?
21,12,joy,12,sometimes Artelle lets me put the little chocolate blobbies on the cookies .
22,2,joy,2,How would you like some Tiki Death Punch ?
25,1,sadness,1,bring you down
25,2,sadness,2,I do not have a plan .
25,4,joy,4,Food .
25,4,joy,3,Pizza guy !
25,8,sadness,7,Do you have a plan ?
25,8,sadness,8,I do not even have a pl .
25,10,sadness,9,"one , uh , mushroom , green pepper and onion ?"
25,10,sadness,10,"No , no , that is not what we ordered ... We ordered a fat ... free crust with extra cheese ."
25,11,sadness,9,"one , uh , mushroom , green pepper and onion ?"
25,11,sadness,10,"No , no , that is not what we ordered ... We ordered a fat ... free crust with extra cheese ."
25,11,sadness,11,my dad gonna kill me !
25,12,surprise,12,Did you say G . Stephanopoulos ?
25,13,anger,13,I must have given him yours .
25,14,surprise,12,Did you say G . Stephanopoulos ?
25,14,surprise,13,Yeah . This one goes across the street
25,16,joy,12,Did you say G . Stephanopoulos ?
25,16,joy,13,Yeah . This one goes across the street
25,16,joy,14,was this a ... a small mediterranean guy with curiously intelligent good looks ?
25,16,joy,15,"Yeah , that sounds about right ."
25,19,surprise,16,Was he wearing a stunning blue suit ?
25,19,surprise,18,"No , pretty much just a towel ."
25,20,sadness,20,So you guys want me to take this back ?
25,21,surprise,21,We have got George Stephanopoulos pizza !
25,24,joy,24,I see pizza !
25,25,joy,24,I see pizza !
27,4,sadness,4,they are having sex .
27,5,anger,4,they are having sex .
27,8,surprise,7,I think he is shy .
29,1,surprise,1,There he is ! There he is !
29,2,surprise,1,There he is ! There he is !
29,3,joy,1,There he is ! There he is !
29,4,joy,4,He is so cute !
29,5,joy,5,"George , baby , drop the towel !"
29,6,joy,6,drop it ! Drop the towel !
30,1,surprise,1,he is only had sex with one woman
30,2,joy,1,he is only had sex with one woman
30,2,joy,2,"I think it is great . You know , it is sweet , it is romantic ..."
30,3,surprise,2,"I think it is great . You know , it is sweet , it is romantic ..."
30,4,disgust,1,he is only had sex with one woman
30,4,disgust,4,The guy a freak .
30,6,joy,6,that is attractive .
30,7,joy,7,I thought you were great in Silence of the Lambs .
30,8,joy,8,"All things considered , you had fun tonight ."
30,9,disgust,8,"All things considered , you had fun tonight ."
30,11,surprise,9,Where is my puck ?
30,11,surprise,10,the kid has it .
30,15,anger,12,that is my puck .
30,15,anger,13,"I found it . Finders keepers , losers weepers ."
30,18,anger,16,gimme back my puck .
30,18,anger,17,No !
30,19,anger,19,No rough holding in my ER !
30,20,anger,16,gimme back my puck .
30,20,anger,17,No !
30,21,joy,21,Now that was fun .
31,8,surprise,6,Will you take my place ?
31,8,surprise,7,"Alright . Yes , this is Rachel ."
32,1,surprise,3,Ugly Naked Guy laying kitchen tile .
32,2,surprise,1,"Oh , god help us ."
32,3,disgust,3,Ugly Naked Guy laying kitchen tile .
32,5,sadness,5,I made a huge mistake . I never should have broken up with her .
33,4,joy,4,"It is just you and Rachel , just the two of you ? This is a date . You are going on a date ."
33,5,fear,4,"It is just you and Rachel , just the two of you ? This is a date . You are going on a date ."
33,6,joy,4,"It is just you and Rachel , just the two of you ? This is a date . You are going on a date ."
33,7,surprise,4,"It is just you and Rachel , just the two of you ? This is a date . You are going on a date ."
33,8,disgust,8,the dirty underwear
33,9,surprise,9,This is basically the first time she is gonna see your underwear ... you want it to be dirty ?
33,10,sadness,9,This is basically the first time she is gonna see your underwear ... you want it to be dirty ?
33,10,sadness,8,you may wanna rethink the dirty underwear .
33,12,anger,11,the fabric softener ?
33,12,anger,12,what is wrong with my Snuggles ?
34,3,surprise,3,That is it ?
34,4,sadness,4,it was really hard .
34,6,anger,5,that hug looked pretty brutal .
35,1,anger,1,"Coming through . Move , move ."
35,2,joy,2,I was kinda using that machine .
35,3,disgust,2,I was kinda using that machine .
35,3,disgust,3,now you are kinda not .
35,5,anger,4,I saved it . I put my basket on top .
35,5,anger,5,"Unfortunately , I do not see suds ."
35,6,surprise,4,I saved it . I put my basket on top .
35,6,surprise,5,"Unfortunately , I do not see suds ."
35,7,anger,4,I saved it . I put my basket on top .
35,7,anger,5,"Unfortunately , I do not see suds ."
35,9,sadness,9,That horrible woman just took my machine .
35,14,anger,9,That horrible woman just took my machine .
35,15,anger,14,That is my friend machine .
35,15,anger,15,her stuff was not in it .
35,16,anger,9,That horrible woman just took my machine .
35,16,anger,14,That is my friend machine .
35,16,anger,15,her stuff was not in it .
35,16,anger,16,that is not the rule and you know it .
36,1,joy,1,He is so cute .
36,4,surprise,1,where did you guys grow up ?
36,4,surprise,2,Brooklyn Heights .
36,4,surprise,3,Cleveland .
36,5,surprise,7,I suddenly had the feeling that I was falling .
36,6,surprise,5,Oh my god .
37,2,joy,1,"you and Angela , huh ?"
37,2,joy,2,Yep . Pretty much .
38,1,joy,1,Bob is terrific .
38,2,joy,1,Bob is terrific .
38,3,joy,3,"It is so great to meet a guy who is smart and funny , and has an emotional age beyond , like eight ."
38,4,joy,4,He is unbelievable in bed .
38,5,surprise,4,He is unbelievable in bed .
38,5,surprise,5,My brother never even told me when he lost his virginity .
39,5,sadness,5,I do not think we should go out anymore .
39,6,fear,5,I do not think we should go out anymore .
39,7,sadness,5,I do not think we should go out anymore .
40,1,joy,1,"I feel that if I can do this , you know , if I can actually do my own laundry , there is not anything I can not do ."
40,4,sadness,4,that is all the time we have .
41,1,joy,1,"Something went wrong with Underdog , and they could not get his head to inflate ."
41,1,joy,2,his head is like flopping down Broadway
41,2,joy,1,"Something went wrong with Underdog , and they could not get his head to inflate ."
41,2,joy,2,his head is like flopping down Broadway
41,4,surprise,6,It is like ... cocktails in Appalachia .
41,5,surprise,4,Oh my god .
41,6,anger,5,What ?
41,6,anger,6,Were we at the same table ? It is like ... cocktails in Appalachia .
41,8,disgust,8,She is got her tongue in his ear .
41,10,disgust,8,She is got her tongue in his ear .
41,10,disgust,10,"this is sick , it is disgusting"
41,12,disgust,10,"it is ... not really true , is it ?"
41,12,disgust,11,who to say what true ?
41,14,surprise,13,"I am not proud of this , ok ? Well , maybe I am a little ."
41,16,disgust,10,"it is ... not really true , is it ?"
41,16,disgust,11,who to say what true ?
41,17,sadness,16,I am outta here .
41,18,surprise,17,He likes you .
42,3,surprise,5,I hit her in the eye ! I hit her in the eye !
42,4,sadness,5,I hit her in the eye ! I hit her in the eye !
42,5,sadness,5,I hit her in the eye ! I hit her in the eye ! This is the worst break ... up in the history of the world .
42,6,surprise,5,I hit her in the eye ! I hit her in the eye ! This is the worst break ... up in the history of the world .
42,8,joy,7,How many of those have you had ?
42,8,joy,8,"I do not know , a million ?"
42,12,fear,12,Here she comes .
42,14,surprise,14,How do you do that ?
44,3,sadness,3,Does it still hurt ?
44,4,sadness,3,Does it still hurt ?
44,4,sadness,4,Yeah .
44,5,joy,5,What a neat idea . All your clothes match .
44,8,joy,9,"We ripped that couple apart , and kept the pieces for ourselves ."
44,9,joy,9,"We ripped that couple apart , and kept the pieces for ourselves ."
44,10,joy,9,"We ripped that couple apart , and kept the pieces for ourselves ."
44,10,joy,10,What a beautiful story .
44,15,joy,15,I am free ! I am free !
45,1,sadness,1,I feel violated .
45,2,disgust,2,"Did anybody else feel they just wanted to peel the skin off their body , to have something else to do ?"
45,6,surprise,3,"Ross , ten o clock ."
45,6,surprise,4,Is it ? Feels like two .
45,6,surprise,5,"No , ten o clock ."
45,7,joy,7,"There is a beautiful woman at eight , nine , ten o clock !"
45,8,joy,7,"There is a beautiful woman at eight , nine , ten o clock !"
45,9,surprise,9,"She is amazing ! She makes the women that I dream about look like short , fat , bald men !"
45,10,joy,10,go over to her ! She is not with anyone .
45,11,fear,10,go over to her !
45,11,fear,11,what would my opening line be ?
45,12,joy,12,you can do it !
45,17,joy,17,You could do that !
45,18,surprise,16,"you always see these really beautiful women with these really nothing guys , you could be one of those guys ."
45,18,surprise,17,You could do that !
48,2,joy,2,this great opportunity
48,4,surprise,3,Lose the robe .
50,1,surprise,1,it is that Victoria Secret model .
50,3,surprise,3,I am trapped in an ATM vestibule with Jill Goodacre !
50,7,joy,6,"I am not alone ... I do not know , some guy ."
53,3,surprise,2,senior year of college ... on a pool table .
53,6,surprise,5,my weirdest place would have to be ... the women room on the second floor of the New York CIty public library .
53,11,surprise,10,"Disneyland , 1989 , It is a Small World After All ."
54,2,surprise,1,I see ... big passion in your future .
54,4,surprise,1,I see ... big passion in your future .
54,6,joy,1,I see ... big passion in your future .
54,6,joy,6,you are so great .
55,4,surprise,3,He is planning your birthday party .
55,7,joy,3,He is planning your birthday party .
55,7,joy,7,My surprise party !
55,8,surprise,7,My surprise party !
55,9,joy,3,He is planning your birthday party .
55,9,joy,9,Joey already told me .
55,12,anger,12,I am always the last one to know everything .
55,14,anger,12,I am always the last one to know everything .
55,14,anger,13,"No , you are not . We tell you stuff ."
55,15,anger,12,I am always the last one to know everything .
55,15,anger,15,I was the last one to know when Chandler got bitten by the peacock at the zoo .
55,15,anger,16,I was the last one to know when you had a crush on Joey when he was moving in .
55,16,anger,12,I am always the last one to know everything .
55,16,anger,15,I was the last one to know when Chandler got bitten by the peacock at the zoo .
55,16,anger,16,I was the last one to know when you had a crush on Joey when he was moving in .
55,17,surprise,16,you had a crush on Joey when he was moving in .
55,18,surprise,18,Looks like I was second to last .
56,1,joy,1,this is so nice .
56,5,surprise,7,look at the little cat !
56,7,surprise,7,look at the little cat !
56,8,surprise,7,look at the little cat !
57,3,sadness,3,poor little Tooty is scared to death .
57,5,anger,4,Why do not we just put poor little Tooty out in the hall ?
57,5,anger,5,During a blackout ? He would get trampled !
59,1,surprise,2,The last candle about to burn out .
59,6,fear,6,Kinda ... spooky without any lights .
59,8,joy,8,I have the definitive one .
60,2,joy,1,this has been fun .
60,2,joy,2,thanks for letting me use your phone ... and for saving my life .
61,7,surprise,6,"He is cute , he is funny , he is ..."
61,7,surprise,7,He is a he ?
61,8,surprise,7,He is a he ?
63,2,sadness,2,The doctor says it is a matter of hours .
63,3,sadness,2,The doctor says it is a matter of hours .
63,4,anger,4,What with your hair ?
63,5,surprise,4,What with your hair ?
63,6,surprise,4,What with your hair ?
63,6,surprise,6,What different ?
63,9,anger,9,She is unbelievable
63,12,surprise,11,"We are gonna be here for a while , it looks like , and we still have boyfriends and your career to cover ."
63,14,surprise,13,The fuzzy little mints at the bottom of her purse .
63,15,disgust,13,The fuzzy little mints at the bottom of her purse .
63,15,disgust,15,they were gross .
63,16,joy,16,you know what I loved ?
63,16,joy,17,Her Sweet n Los .
63,16,joy,18,How she was always stealing them from ... from restaurants .
63,17,joy,16,you know what I loved ?
63,17,joy,17,Her Sweet n Los .
63,17,joy,18,How she was always stealing them from ... from restaurants .
63,18,joy,16,you know what I loved ?
63,18,joy,17,Her Sweet n Los .
63,18,joy,18,How she was always stealing them from ... from restaurants .
66,1,surprise,1,who this little naked guy ?
66,3,surprise,2,That little naked guy would be me .
66,3,surprise,3,look at the little thing .
66,4,surprise,4,Who are those people ?
66,5,surprise,4,Who are those people ?
66,5,surprise,5,Got me .
66,7,surprise,7,you look just like your grandmother .
66,10,joy,10,I got Monica naked !
68,4,surprise,2,do you talk about me ?
68,4,surprise,3,"Yeah , yeah , all the time ."
69,2,joy,2,You owe me 20 bucks .
69,5,surprise,4,"Chandler , here you go , got your traditional Thanksgiving feast , you got your tomato soup , your grilled cheese fixin , and your family size bag of Funyuns ."
69,5,surprise,5,this is what you are havin for Thanksgiving dinner ?
69,6,anger,5,this is what you are havin for Thanksgiving dinner ?
69,8,sadness,8,I hate this story .
69,10,sadness,10,this is the moment my parents choose to tell me they are getting divorced .
69,11,surprise,10,this is the moment my parents choose to tell me they are getting divorced .
69,12,sadness,10,this is the moment my parents choose to tell me they are getting divorced .
69,12,sadness,12,It is very difficult to appreciate a Thanksgiving dinner once you have seen it in reverse .
70,1,anger,1,did you whip the potatoes ? Ross needs lumps !
70,2,sadness,1,did you whip the potatoes ? Ross needs lumps !
70,3,surprise,2,I thought we could have them whipped and then add some peas and onions .
70,3,surprise,3,Why would we do that ?
70,4,sadness,4,"cause then they would be like my mom used to make them , you know , before she died ."
70,6,joy,6,Thanks for everything .
70,8,surprise,8,The most unbelievable thing has happened . Underdog has just gotten away .
70,13,sadness,12,"I am going to the roof , who with me ?"
70,13,sadness,13,"I can not , I gotta go ."
70,14,surprise,12,"I am going to the roof , who with me ?"
70,14,surprise,13,"I can not , I gotta go ."
70,14,surprise,14,An 80 ... foot inflatable dog let loose over the city . How often does that happen ?
72,1,joy,1,"Thanksgiving . Ooh , you got the bigger half ."
72,3,joy,3,I would like to propose a toast .
72,4,joy,3,I would like to propose a toast .
72,5,joy,5,"this is not the kind of Thanksgiving that all of you all planned , but for me , this has been really great , you know , I think because it did not involve divorce or projectile vomiting ."
72,5,joy,6,"if you would gone to Vail , and if you guysd been with your family , if you did not have syphilis and stuff , we would not be all together"
72,5,joy,7,all of your Thanksgivings sucked
72,6,joy,5,"this is not the kind of Thanksgiving that all of you all planned , but for me , this has been really great , you know , I think because it did not involve divorce or projectile vomiting ."
72,6,joy,6,"if you would gone to Vail , and if you guysd been with your family , if you did not have syphilis and stuff , we would not be all together"
72,6,joy,7,all of your Thanksgivings sucked .
72,7,joy,5,"this is not the kind of Thanksgiving that all of you all planned , but for me , this has been really great , you know , I think because it did not involve divorce or projectile vomiting ."
72,7,joy,6,"if you would gone to Vail , and if you guysd been with your family , if you did not have syphilis and stuff , we would not be all together"
72,7,joy,7,all of your Thanksgivings sucked .
72,8,joy,5,"this is not the kind of Thanksgiving that all of you all planned , but for me , this has been really great"
72,8,joy,6,"I was just thinking , I mean , if you would gone to Vail , and if you guysd been with your family , if you did not have syphilis and stuff , we would not be all together"
72,8,joy,7,I am very thankful that all of your Thanksgivings sucked .
72,8,joy,8,That is so sweet .
73,2,anger,2,Do you always have to bring him here ?
73,9,joy,8,"if you are gonna work late , I could look in on him for you ."
73,9,joy,9,that would be great !
75,2,surprise,1,Do you think they have yesterday daily news ?
75,4,surprise,4,behind us is a guy who has the potential to break our hearts and plunge us into a pit of depression
75,5,joy,4,behind us is a guy who has the potential to break our hearts and plunge us into a pit of depression .
75,6,joy,6,He is coming .
75,8,anger,7,We should do something . Whistle .
75,10,anger,7,We should do something . Whistle .
75,10,anger,9,"Come on , do it ."
75,12,anger,7,We should do something . Whistle .
75,12,anger,9,"Come on , do it ."
75,12,anger,11,Do it !
75,15,surprise,15,you did that
76,1,sadness,1,Are there no conscious men in the city for you two ?
76,4,disgust,4,you said woowoo
76,5,joy,5,she is coming up ! She is coming up !
76,9,joy,8,"we do not have to watch this . Weekend At Bernie is on Showtime , HBO , and Cinemax ."
76,10,anger,8,"we do not have to watch this . Weekend At Bernie is on Showtime , HBO , and Cinemax ."
76,11,joy,11,"Weekend At Bernie ! Dead guy getting hit in the groin twenty , thirty times !"
76,12,joy,12,"I love your mom books ! I love her books ! I cannot get on a plane without one ! I mean , this is so cool !"
76,13,disgust,13,you are eleven years old and all your friends are passing around page 79 of Mistress Bitch .
76,14,joy,14,I love your mom . I think she is a blast .
78,2,surprise,2,He forgot to leave his grip size !
78,3,surprise,3,He did not get the goggles !
78,7,anger,7,they wait for me to do this
78,11,surprise,11,What are you guys doing here ?
78,12,surprise,12,he is not even wearing a jockstrap !
80,1,anger,1,"it is just because it was my table , I have to buy a new one"
80,3,anger,1,"it is just because it was my table , I have to buy a new one ?"
80,3,anger,2,That is the rule .
80,4,anger,3,you owe me a table !
80,5,anger,5,the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio
80,6,surprise,5,I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio
80,6,surprise,6,You knew about that
80,7,disgust,7,the impressions you made in the butter
80,14,surprise,13,what if one of us wants to move out ?
80,16,fear,16,if you were moving out
80,18,anger,17,it is just that with my last roommate Kip ...
80,19,anger,19,"we bought a hibachi together , and then he ran off and got married , and things got pretty ugly ."
80,20,sadness,20,was Kip a better roommate than me ?
80,21,sadness,20,was Kip a better roommate than me ?
81,1,surprise,1,you do not want to know .
81,3,surprise,2,Monica knows
81,3,surprise,3,"how could you know , I do not even know !"
81,6,anger,6,"now he knows , and I do not know"
81,7,joy,7,being an aunt
81,10,joy,10,Pheebs !
81,11,anger,21,he made a move on me
81,13,sadness,21,he made a move on me
81,15,surprise,14,"Hey , can we get some cappuccino over here ?"
81,15,surprise,15,"right , that is me !"
81,21,anger,21,he made a move on me
81,22,surprise,21,he made a move on me
82,9,disgust,8,boy scouts could have camped under there .
82,10,surprise,10,""" Ooo , "" what ?"
82,10,surprise,9,Oooooo ...
82,19,fear,19,She is gonna hate me
83,1,anger,1,"Will you pick one , just pick one !"
83,2,surprise,1,"Here , how about that one ?"
83,2,surprise,2,That is patio furniture !
83,3,anger,1,"Will you pick one , just pick one ! Here , how about that one ?"
83,3,anger,2,That is patio furniture !
83,8,anger,4,What about the birds ?
83,8,anger,5,"I do not know , birds just do not say , "" Hello , sit here , eat something . """
83,8,anger,7,how about the ladybugs ?
83,8,anger,8,"forget about the birds , but big red insects suggest fine dining !"
83,9,anger,7,how about the ladybugs ?
83,9,anger,8,"forget about the birds , but big red insects suggest fine dining !"
83,10,sadness,4,What about the birds ?
83,10,sadness,5,"I do not know , birds just do not say , "" Hello , sit here , eat something . """
83,10,sadness,9,"Fine , you want to get the birds , get the birds !"
83,11,sadness,4,What about the birds ?
83,11,sadness,5,"I do not know , birds just do not say , "" Hello , sit here , eat something . """
84,1,joy,1,Hey !
84,2,joy,1,Hey !
84,2,joy,2,Hi Pheebs !
84,8,surprise,5,Rachel can we talk for a sec ?
84,8,surprise,6,"Well , sure ... just a sec , though , cause Paolo on his way over ."
84,8,surprise,7,"Ok , um , ok , um"
84,11,surprise,11,I never tasted these before
84,11,surprise,13,these are the best oatmeal cookies I have ever had .
84,13,surprise,13,these are the best oatmeal cookies I have ever had
84,16,sadness,16,Paolo made a pass at me
85,2,joy,2,It is the most beautiful table I have ever seen .
85,3,joy,2,I think It is the most beautiful table I have ever seen .
85,5,joy,5,let play !
85,6,joy,6,Score ! You suck !
86,8,anger,8,I feel so stupid !
86,9,anger,8,I feel so stupid !
86,10,sadness,12,if I had never met him this never would have happened !
86,10,sadness,10,I am so embarrassed !
86,11,surprise,10,I am so embarrassed !
86,12,sadness,12,if I had never met him this never would have happened !
86,12,sadness,10,I am so embarrassed !
86,13,sadness,12,if I had never met him this never would have happened !
86,14,surprise,13,I am so sorry ! No I am sorry ! No I am sorry ! No I am sorry !
86,14,surprise,14,what are we sorry about ?
86,15,sadness,15,he is the pig
86,16,disgust,15,he is the pig !
86,16,disgust,16,Such a pig !
86,17,disgust,15,he is the pig !
86,17,disgust,16,Such a pig !
86,17,disgust,17,he is such a pig
86,18,disgust,15,he is the pig !
86,18,disgust,16,Such a pig !
86,18,disgust,17,he is such a pig
86,19,disgust,15,he is the pig !
86,19,disgust,16,Such a pig !
86,19,disgust,17,he is such a pig
86,19,disgust,19,He is like a big disgusting ... pig ... pig man !
86,20,joy,19,He is like a big disgusting ... pig ... pig man !
87,1,sadness,1,he was my pig man
87,2,surprise,2,How did I not see this ?
87,3,joy,3,I know !
87,6,sadness,2,How did I not see this ?
87,7,sadness,6,"Oh , God ..."
87,9,sadness,9,I just liked it better before it was better ...
90,1,sadness,1,"Gotta go . I miss you too , I love you , but it is getting real late now ..."
90,3,surprise,4,this is not Ma
90,4,surprise,4,Did you know this is not Ma ?
90,8,surprise,6,So how long you been ...
90,8,surprise,7,"Remember when you were a little kid , I used to take you to the navy yard and show you the big ships ?"
90,8,surprise,8,Since then ? !
90,15,disgust,15,You are one to talk .
90,17,disgust,16,"your dad in love big time . And the worst part of it is , it is with two different women"
90,18,surprise,16,"your dad in love big time . And the worst part of it is , it is with two different women ."
90,18,surprise,17,Please tell me one of them is Ma .
91,5,joy,4,"if I go first , I wanna be looking for my keys ."
91,5,joy,5,That is a good one !
91,8,surprise,7,Ronni here
92,1,disgust,1,"Hey , Kicky . What are you doing ?"
92,2,sadness,2,I can not sleep in my underwear .
92,17,joy,16,"I would like to believe that when the right woman comes along , you will have the courage and the guts to say"
92,17,joy,17,You really think so ?
93,2,joy,1,"Hey , Pheebs ."
93,2,joy,2,Hey .
93,4,joy,4,Roger having a dinner thing and he wanted me to invite you guys
93,9,disgust,9,We hate that guy .
93,10,disgust,9,We hate that guy .
93,10,disgust,10,Hate him .
93,11,sadness,10,Hate him .
93,15,disgust,15,we hate him .
93,16,sadness,15,we hate him .
94,1,surprise,1,Ma ! What are you doing here ?
95,4,sadness,4,It is my friends . They ... they have a liking problem with you .
95,5,surprise,4,"It is my friends . They ... they have a liking problem with you . In that , um , they do not ."
95,6,joy,6,all the wonderfulness that I see . They do not see all the good stuff and all the sweet stuff
95,7,surprise,4,"It is my friends . They ... they have a liking problem with you . In that , um , they do not ."
95,7,surprise,6,they think you are a little ...
97,3,disgust,3,What the hell were you doing
97,4,sadness,4,Wrong boobies .
98,3,anger,3,you dare bail on me
98,5,sadness,5,her friend sounds like such a
98,5,sadness,6,Pathetic mess
98,7,joy,7,"she is needy , she is vulnerable ."
98,12,joy,11,She said yes
99,5,joy,5,"Hi , Joey ."
99,6,joy,6,look what you brought . Very nice .
